"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
275,2011-10-31,"","Naurak mirali","North Waziristan","FATA",1,0,0,2,4,0,0,2,4,0,5,"",70.1455,32.9746,"2011","Barack Obama",1,0
276,2011-11-03,"","Darpakhel sarai","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,5,"",70.1455,32.9746,"2011","Barack Obama",1,0
277,2011-11-15,"","Miranshah Bazar","North Waziristan","FATA",1,0,0,6,7,0,0,6,7,0,4,"",70.1455,32.9746,"2011","Barack Obama",1,0
278,2011-11-16,"","Baber Ghar area","South Waziristan","FATA",1,0,0,15,18,0,0,15,18,0,0,"",69.9,33.0333,"2011","Barack Obama",1,0
279,2011-11-17,"","Ramzak area","North Waziristan","FATA",1,0,0,6,9,0,0,6,9,0,4,"",70.1455,32.9746,"2011","Barack Obama",1,0
280,2012-01-10,"","Miranshah","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
281,2012-01-12,"19:00","Dogga village- Datta khel tehsil- 45 km west of miranshah","North Waziristan","FATA",1,0,0,0,0,0,6,4,6,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
282,2012-01-23,"","Muhammad khel village","North Waziristan","FATA",1,0,0,0,2,0,0,0,2,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
283,2012-01-23,"","Deegan village","North Waziristan","FATA",1,0,0,2,3,0,0,2,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
284,2012-02-08,"7:00","Tappi- 10KM southeast of Miranshah","North Waziristan","FATA",1,0,0,0,10,0,0,0,10,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
285,2012-02-09,"6:30","Miranshah","North Waziristan","FATA",1,4,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,4
286,2012-02-16,"6:30","Spagla Town Near Miranshah","North Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
287,2012-02-16,"6:45","Spagla Town Near Miranshah","North Waziristan","FATA",1,0,0,4,7,0,8,12,15,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
288,2012-03-13,"7:15","Birmal area of South Waziristan","South Waziristan","FATA",1,0,8,0,0,0,0,7,8,0,2,"N",69.9,33.0333,"2012","Barack Obama",1,8
289,2012-03-13,"","Surra Khawra area of Shawal South Waziristan","South Waziristan","FATA",1,0,7,0,0,0,0,0,0,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,7
290,2012-03-09,"","Mandao area on the boarder od North and South Waziristan","South Waziristan","FATA",3,1,12,0,0,0,0,8,13,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,13
291,2012-03-30,"3:00","Market in Miranshah North Waziristan","North Waziristan","FATA",3,0,0,0,4,0,0,0,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
292,2012-04-29,"","Miranshah","North Waziristan","FATA",1,0,0,0,0,3,4,3,4,2,3,"N",70.1455,32.9746,"2012","Barack Obama",1,0
293,2012-05-05,"","Shawal area- 70km west of Miranshah","North Waziristan","FATA",1,0,0,0,0,0,10,0,10,0,8,"Y",70.1455,32.9746,"2012","Barack Obama",1,0
294,2012-05-23,"","Miranshah","North Waziristan","FATA",2,0,0,4,5,0,0,4,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
295,2012-05-24,"5:30","Mir Ali","North Waziristan","FATA",1,0,0,2,10,4,8,2,10,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
296,2012-05-26,"4:00","Miranshah","North Waziristan","FATA",2,0,0,1,4,2,3,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
297,2012-05-28,"9:00","HassoKhel Town- 25km East of Miranshah","North Waziristan","FATA",1,0,0,5,8,0,0,5,8,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
298,2012-05-28,"","Datta Khel District- 30km West of Miranshah","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
299,2012-06-02,"8:30","Khawashikhel Village- 5km West of Wana","South Waziristan","FATA",1,0,3,0,0,0,0,2,3,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,3
300,2012-06-03,"","Wacha Dana- 10km West of Wana","South Waziristan","FATA",1,0,11,0,0,0,0,6,11,0,2,"N",69.9,33.0333,"2012","Barack Obama",1,11
301,2012-06-04,"3:30","Heshokhel Village- 3km East of Mirali","North Waziristan","FATA",1,1,0,0,14,0,0,0,15,0,5,"N",70.1455,32.9746,"2012","Barack Obama",1,1
302,2012-06-13,"","Isha Village- 10km East of Miranshah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
303,2012-06-14,"3:15","Miranshah Bazaar","North Waziristan","FATA",2,0,0,2,4,0,0,2,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
304,2012-06-26,"2:00","Shawal Area- 50km Southwest of Miranshah","North Waziristan","FATA",1,0,5,0,0,0,0,0,5,0,3,"N",70.1455,32.9746,"2012","Barack Obama",1,5
305,2012-07-01,"","Shawal District- 50km Southwest of Miranshah","North Waziristan","FATA",1,0,8,0,0,0,0,0,8,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,8
306,2012-07-06,"20:45","Zoi Nari- Tehsil Dattakhel","North Waziristan","FATA",6,0,0,4,17,0,0,4,17,2,3,"N",70.1455,32.9746,"2012","Barack Obama",1,0
307,2012-07-06,"22:30","Zoi Nari- Tehsil Dattakhel","North Waziristan","FATA",1,0,0,3,18,0,0,3,18,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
308,2012-07-23,"23:00","Dray Nashtar Village- 65km West of Miranshah","North Waziristan","FATA",8,0,0,10,12,0,0,10,12,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
309,2012-07-29,"18:30","Khushali Turkhel Village- 35km East of Miranshah","North Waziristan","FATA",6,0,0,0,0,0,7,0,7,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
310,2012-08-18,"13:30","Shuwedar Village","North Waziristan","FATA",2,0,6,0,6,0,0,6,12,0,3,"N",70.1455,32.9746,"2012","Barack Obama",1,6
311,2012-08-19,"6:45","Mana- Shawal Area","North Waziristan","FATA",1,0,0,4,7,0,0,4,7,0,4,"N",70.1455,32.9746,"2012","Barack Obama",1,0
312,2012-08-19,"","Mana- Shawal Area","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
313,2012-08-21,"","Shna Khora- 5km West of Miranshah","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,3,4,"N",70.1455,32.9746,"2012","Barack Obama",1,0
314,2012-08-24,"","Makki Gharr- Shawal Area","North Waziristan","FATA",1,0,6,0,0,0,0,5,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,6
315,2012-08-24,"","Tonda Darra- Shawal Area","North Waziristan","FATA",1,0,6,0,0,0,0,4,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,6
316,2012-08-24,"","Darra Nishtar- Shawal Area","North Waziristan","FATA",1,0,8,0,0,0,0,5,8,0,14,"N",70.1455,32.9746,"2012","Barack Obama",1,8
317,2012-09-01,"9:00","Degan Area- Datta Khel","North Waziristan","FATA",4,0,0,4,6,0,0,4,6,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
318,2012-09-22,"","Datta Khel","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
319,2012-09-24,"","Kaderkhail Village- 40km East of Miranshah","North Waziristan","FATA",2,0,0,5,6,0,0,5,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
320,2012-10-01,"","Khaiderkhel Area- 30 km East of Miranshah","North Waziristan","FATA",4,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
321,2012-10-10,"4:00","Hurmaz village of Mir ali Tehsil","North Waziristan","FATA",4,0,0,0,5,0,0,0,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
322,2012-10-11,"16:40","Bulandkhel Area- Orakzai","North Waziristan","FATA",4,0,0,17,18,0,0,17,18,15,20,"N",70.1455,32.9746,"2012","Barack Obama",1,0
323,2012-10-24,"","Tappi Area- 20 km East of Miranshah","North Waziristan","FATA",2,0,0,3,5,0,0,3,5,0,0,"Y",70.1455,32.9746,"2012","Barack Obama",1,0
324,2012-11-29,"12:00","Sheen Warak Area- Wana","North Waziristan","FATA",1,0,0,2,4,0,0,2,4,0,4,"N",70.1455,32.9746,"2012","Barack Obama",1,0
325,2012-12-01,"","Sheen Warsask Area","South Waziristan","FATA",3,0,0,0,3,0,1,0,4,0,3,"N",69.9,33.0333,"2012","Barack Obama",1,0
326,2012-12-06,"7:45","Mubarak Shah Village- Mir Ali","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
327,2012-12-09,"","Tabbi Village- Miranshah","North Waziristan","FATA",4,1,0,0,3,0,0,1,4,0,6,"N",70.1455,32.9746,"2012","Barack Obama",1,1
328,2012-12-21,"12:15","Hisukhel Area of Mir Ali","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
329,2012-12-28,"","Gurbuz- 65km West of Miranshah","North Waziristan","FATA",8,0,0,4,7,0,0,4,7,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
330,2013-01-02,"22:00","Sara Kanda area of Birmal tehsil","South Waziristan","FATA",1,0,17,0,0,0,0,7,17,0,0,"N",69.9,33.0333,"2013","Barack Obama",1,17
331,2013-01-06,"","Babar Ghar Village","South Waziristan","FATA",1,0,17,0,0,0,0,10,17,0,7,"N",69.9,33.0333,"2013","Barack Obama",1,17
332,2013-01-08,"","Haider Khel Village- 25km East of Miranshah","North Waziristan","FATA",8,0,0,4,8,0,0,4,8,1,4,"N",70.1455,32.9746,"2013","Barack Obama",1,0
333,2013-01-08,"","Haso Khel village","North Waziristan","FATA",4,0,0,3,4,0,0,3,4,1,4,"N",70.1455,32.9746,"2013","Barack Obama",1,0
334,2013-01-10,"","Heso Khel village- 35km East of Miranshah","North Waziristan","FATA",4,0,0,4,6,0,0,4,6,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,0
335,2013-02-06,"","Ghulam Khan Tehsil","North Waziristan","FATA",4,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,0
336,2013-02-08,"","Bobar Gar area- 50km south of Miranshah","North Waziristan","FATA",2,2,9,0,0,2,2,7,9,2,6,"N",70.1455,32.9746,"2013","Barack Obama",1,11
337,2013-03-21,"23:30","Datta Khel tehsil- 35 kilometres west of Miransha","North Waziristan","FATA",1,0,0,1,4,0,0,1,4,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,0
338,2013-04-14,"18:30","Datta Khel Tehsil- 50 Kilometres west of Miranshah","North Waziristan","FATA",2,0,0,4,4,0,0,4,4,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,0
339,2013-04-17,"","Baber Ghar Area of South Waziristan","South Waziristan","FATA",2,0,5,0,0,0,0,5,5,2,7,"N",69.9,33.0333,"2013","Barack Obama",1,5
340,2013-05-29,"","Chashma village- 3km east of Miranshah","North Waziristan","FATA",2,0,7,0,0,0,0,7,7,4,4,"N",70.1455,32.9746,"2013","Barack Obama",1,7
341,2013-07-02,"2:30"," Sarai Darpa Khel area","North Waziristan","FATA",4,0,17,0,0,0,0,16,17,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,17
342,2013-07-13,"23:30","Mir Ali Tehsil","North Waziristan","FATA",2,0,0,0,0,2,2,2,2,0,0,"N",70.1455,32.9746,"2013","Barack Obama",1,0
343,2013-09-06,"6:45","Ghulam Khan Area","North Waziristan","FATA",2,3,3,0,0,3,3,6,7,4,4,"N",70.1455,32.9746,"2013","Barack Obama",1,6
344,2013-09-22,"12:45","Shawal Town of North Waziristan","North Waziristan","FATA",4,0,0,6,7,0,0,6,7,2,3,"N",70.1455,32.9746,"2013","Barack Obama",1,0
345,2013-09-29,"","Dargamandi area- seven km north of Miranshah","North Waziristan","FATA",2,0,0,3,6,0,0,3,6,3,3,"N",70.1455,32.9746,"2013","Barack Obama",1,0
346,2013-10-27,"1:00","Zafar Town area near Miramshah Bazar","North Waziristan","FATA",1,0,0,3,3,0,0,3,3,3,3,"N",70.1455,32.9746,"2013","Barack Obama",1,0
347,2013-10-29,"1:30","Dandey Darpakhel Area- five kilometres (three miles) north of Miranshah","North Waziristan","FATA",1,0,5,0,0,0,0,5,5,2,2,"N",70.1455,32.9746,"2013","Barack Obama",1,5
348,2013-11-21,"","Tehsil Tal's main Tal bazaar","Hungu","KPK",4,0,0,2,2,4,4,6,8,6,8,"N",71.06,33.53,"2013","Barack Obama",1,0
349,2013-11-28,"","Chashma area of Miranshah","North Waziristan","FATA",2,0,3,0,0,0,0,3,3,8,8,"N",70.1455,32.9746,"2013","Barack Obama",1,3
350,2013-12-14,"","Mach Magai area of Loe Suleman","Khyber Agency","FATA",1,0,0,6,6,0,0,0,6,2,4,"N",71.1481,34.0983,"2013","Barack Obama",1,0
351,2013-12-25,"2:00","Qutub Khel village- 5km  east of miranshah","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,1,"N",70.1455,32.9746,"2013","Barack Obama",1,0
352,2014-06-11,"2:30","Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah ","North Waziristan","FATA",8,0,16,0,0,4,6,16,16,4,4,"N",70.1455,32.9746,"2014","Barack Obama",1,16
353,2014-06-18,"5:30","Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah ","North Waziristan","FATA",6,0,0,6,6,0,0,6,6,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,0
354,2014-07-10,"5:00","Datta Khel is about 50 kilometers (30 miles) west of Miran Shah","North Waziristan","FATA",2,0,6,0,0,0,0,6,6,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,6
355,2014-07-16,"","Datta Khel is about 50 kilometers (30 miles) west of Miran Shah","North Waziristan","FATA",4,0,20,0,0,0,0,18,20,0,5,"N",70.1455,32.9746,"2014","Barack Obama",1,20
356,2014-07-19,"23:45","Datta Khel is about 50 kilometers (30 miles) west of Miran Shah","North Waziristan","FATA",1,0,15,0,0,5,5,8,15,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,15
357,2014-08-06,"","Datta Khel is about 50 kilometers (30 miles) west of Miran Shah","North Waziristan","FATA",1,0,0,0,0,5,6,5,6,2,2,"N",70.1455,32.9746,"2014","Barack Obama",1,0
358,2014-09-24,"4:45","Lorha Mandi area of Datta Khel tehsil- 65 kilometres west of Miramshah","North Waziristan","FATA",4,0,10,0,0,2,2,10,10,2,2,"N",70.1455,32.9746,"2014","Barack Obama",1,10
359,2014-09-28,"12:00","Karikot Karezai Pal- Wana","South Waziristan","FATA",1,0,4,0,0,2,2,4,4,0,0,"N",69.9,33.0333,"2014","Barack Obama",1,4
360,2014-10-05,"17:50","Kand Ghar area of Shawal district","South Waziristan","FATA",4,0,5,0,0,1,1,5,5,2,2,"N",69.9,33.0333,"2014","Barack Obama",1,5
361,2014-10-06,"17:45","Bari Mail area of Shawal district","South Waziristan","FATA",1,0,8,0,0,0,0,8,8,6,8,"N",69.9,33.0333,"2014","Barack Obama",1,8
362,2014-10-07,"","Kandghar area of Shawal","North Waziristan","FATA",2,0,7,0,0,0,0,6,7,5,11,"N",70.1455,32.9746,"2014","Barack Obama",1,7
363,2014-10-07,"12:30","Datta Khel area","North Waziristan","FATA",3,0,4,0,0,0,0,2,8,4,4,"N",70.1455,32.9746,"2014","Barack Obama",1,4
364,2014-10-07,"18:30","A house in the Datta Khel area ","North Waziristan","FATA",1,0,0,4,4,0,0,4,4,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,0
365,2014-10-09,"","Loman area of Dattakhel Tehsil","North Waziristan","FATA",1,0,0,3,3,0,0,3,4,2,2,"N",70.1455,32.9746,"2014","Barack Obama",1,0
366,2014-10-30,"","Nargas- a village some 30 kilometres west of Wana- the main town in the South Waziristan agency ","South Waziristan","FATA",1,0,7,0,0,1,4,4,7,0,0,"N",69.9,33.0333,"2014","Barack Obama",1,7
367,2014-11-11,"","Doa Toi area of Datakhel tehsil in North Waziristan Agency","North Waziristan","FATA",1,0,6,0,0,0,0,4,6,0,2,"N",70.1455,32.9746,"2014","Barack Obama",1,6
368,2014-11-20,"","Dattakhel","North Waziristan","FATA",2,0,6,0,-6,0,0,0,5,0,3,"Y",70.1455,32.9746,"2014","Barack Obama",1,6
369,2014-11-21,"","N/A","North Waziristan","FATA",1,0,5,0,-5,0,0,0,9,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,5
370,2014-11-26,"","Kundghar","North Waziristan","FATA",2,0,4,0,-4,0,0,0,6,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,4
371,2014-12-03,"","Dattakhel","North Waziristan","FATA",1,0,3,0,3,0,0,6,9,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,3
372,2014-12-07,"6:00","Kher Tangi","North Waziristan","FATA",1,0,0,0,0,0,0,0,18,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,0
373,2014-12-20,"","Dattakhel","North Waziristan","FATA",2,0,0,0,0,0,0,0,6,0,2,"N",70.1455,32.9746,"2014","Barack Obama",1,0
374,2014-12-26,"","Dattakhel","North Waziristan","FATA",1,0,0,0,0,0,0,0,6,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,0
375,2014-12-26,"","Shawal Valley","North Waziristan","FATA",1,0,5,-4,-1,0,0,4,39,0,0,"N",70.1455,32.9746,"2014","Barack Obama",1,5
376,2015-01-03,"","Shawal valley ","North Waziristan","FATA",1,0,0,0,0,0,0,0,8,0,2,"N",70.1455,32.9746,"2015","Barack Obama",1,0
377,2015-01-15,"","Acha Dara area","North Waziristan","FATA",1,0,6,0,0,0,0,0,6,0,0,"",70.1455,32.9746,"2015","Barack Obama",1,6
378,2015-01-15,"2:00","Wacha Dhara area- Spilgai- border of SWA and NWA","South Waziristan","FATA",1,0,0,0,7,0,0,0,7,0,0,"",69.9,33.0333,"2015","Barack Obama",1,0
379,2015-01-19,"","Shawal Valley","North Waziristan","FATA",2,0,0,0,0,0,7,0,6,0,4,"",70.1455,32.9746,"2015","Barack Obama",1,0
380,2015-01-28,"","Shawal Valley","North Waziristan","FATA",2,0,0,7,0,0,0,0,7,0,4,"",70.1455,32.9746,"2015","Barack Obama",1,0
381,2015-03-24,"","Nazyan district of Afghanistan's Nangarhar province","Khyber Agency","FATA",2,0,9,0,0,0,0,0,9,0,0,"N",71.1481,34.0983,"2015","Barack Obama",1,9
382,2015-03-18,"","Shabak Kurram tribal agency-adjacent to North Waziristan","North Waziristan","FATA",1,0,3,0,0,0,0,2,3,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,3
383,2015-04-12,"","Shawwal ","North Waziristan","FATA",2,4,0,0,0,0,0,0,4,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,4
384,2015-05-16,"","Warokey Mandi area Shawal district","North Waziristan","FATA",2,0,0,0,0,1,0,5,6,0,2,"N",70.1455,32.9746,"2015","Barack Obama",1,0
385,2015-05-18,"","Zoey Narey Shawal Valley ","North Waziristan","FATA",2,0,0,0,0,0,0,0,6,0,2,"N",70.1455,32.9746,"2015","Barack Obama",1,0
386,2015-05-18,"","Datta Khel ","North Waziristan","FATA",2,0,0,0,0,0,0,0,6,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,0
387,2015-05-21,""," Datta Khel- Shawal Valley ","North Waziristan","FATA",1,0,0,0,0,0,0,15,16,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,0
388,2015-06-01,"","Shawal area","North Waziristan","FATA",2,0,0,0,0,0,0,0,4,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,0
389,2015-06-06,"","Shawal Valley","North Waziristan","FATA",1,0,9,0,0,0,0,8,9,0,0,"N",70.1455,32.9746,"2015","Barack Obama",1,9
390,2015-08-06,"","Datta Khel ","North Waziristan","FATA",1,0,5,0,0,0,0,0,5,0,0,"N",32.905167,69.748798,"2015","Barack Obama",1,5
391,2015-09-01,"","Shawal Valley/Datta Khel(Karwanda /Lawra Mandi area)","North Waziristan","FATA",1,0,0,0,0,0,0,0,5,0,3,"N",32.844444,69.830556,"2015","Barack Obama",1,0
392,2015-09-07,"","Shawal Valley","North Waziristan","FATA",1,0,0,0,0,0,0,0,3,0,0,"N",32.844444,69.830556,"2015","Barack Obama",1,0
393,2015-09-18,"","Shonkrai Narai area","North Waziristan","FATA",2,0,0,6,7,0,0,6,7,6,0,"N",32.320237,69.859741,"2015","Barack Obama",1,0
394,2015-09-18,"","Shawal region","North Waziristan","FATA",1,0,19,0,0,0,0,0,19,0,0,"N",32.844444,69.830556,"2015","Barack Obama",1,19
395,2016-01-09,"","Mangroti area","North Waziristan","FATA",1,0,0,0,0,0,0,0,5,0,0,"N",32.320237,69.859741,"2016","Barack Obama",1,0
396,2016-01-22,"","Kurram agency","North Waziristan","FATA",4,0,0,0,0,0,0,0,3,1,1,"N",33.695975,70.336069,"2016","Barack Obama",1,0
397,2016-05-21,"15:45","Kuchaki","Dalbandin","Balochistan",1,0,1,1,1,0,0,2,2,0,0,"0",28.896179,64.399215,"2016","Barack Obama",1,1
398,2017-03-02,"16:00","Sara Khwa, Kurram agency","North Waziristan","FATA",1,0,2,0,0,0,0,2,2,0,0,"N",32.293811,70.105,"2017","Barack Obama",1,2
400,2017-04-26,"12:30","Lawara Mandi area","North Waziristan","FATA",2,0,7,3,3,0,0,10,10,0,0,"",33.145357,70.029226,"2017","Barack Obama",1,7
401,2017-05-24,"12:00","Garvik area, Shawal Tehsil","North Waziristan","FATA",1,0,0,0,0,0,0,3,3,0,0,"N",32.7061861,69.4157815,"2017","Barack Obama",1,0
402,2017-06-12,"21:00","Spin Thal","Hangu","KPK",1,0,0,0,0,0,0,2,2,0,0,"N",33.358693,70.54072,"2017","Barack Obama",1,0
403,2017-07-03,"","","South Waziristan","FATA",2,0,0,0,0,0,0,4,4,0,0,"N",32.120819,69.589987,"2017","Barack Obama",1,0
404,2017-09-15,"","Ghuz Ghari","Kurram Agency","FATA",2,0,0,0,0,0,0,3,3,2,2,"N",33.732174,70.150755,"2017","Barack Obama",1,0
